Referencia,codigo_banco,nombre_banco,codigo_sucursal,direccion_sucursal,region_sucursal,nombre_gerente,rut_empleado,nombre_empleado,correo_empleado,edad_empleado,acceso_empleado,rut_vigilante,nombre_vigilante,correo_vigilante,edad_vigilante,acceso_vigilante,fecha_contrato,hora_registro,fecha_registro,tipo_registro,observacion_registro,hora_reporte,fecha_reporte,incidente_reporte,descripcion_reporte
1,7Q2XZP8D,Banco Horizonte,N6T2RXF8,"Avenida Libertad 1234, Las Condes",Región Metropolitana,Emily Johnson,12.345.678-9,Juan Pablo Guzmán,juanpablo.guzman@empresa.cl,42,TRUE,15.678.901-2,Javier Gallardo,javier.gallardo@empresa.cl,38,TRUE,15/06/2020,0:00,15/09/2021,Entrada,,8:27,17/07/2021,Fraude de tarjeta de crédito/débito,Transacciones no autorizadas detectadas en la cuenta del cliente después de que su tarjeta fue comprometida.
2,LM5YN3FR,Finanzas Triunfo,B4Q9ZYL5,"Calle Esperanza 567, Ñuñoa",Región de Valparaíso,Jacob Smith,23.456.789-0,Catalina Rodríguez,catalina.rodriguez@empresa.cl,37,FALSE,26.789.012-3,Alicia Ponce,alicia.ponce@empresa.cl,29,FALSE,28/11/2021,1:00,28/07/2020,Salida,,14:53,05/03/2023,Robo a mano armada,Incidente reportado en una sucursal bancaria donde los asaltantes irrumpieron y robaron efectivo y otros objetos de valor.
3,H6J0KT9V,Crédito Aliado,G7V1JWM0,"Pasaje Unión 89, Providencia",Región del Biobío,Madison Brown,34.567.890-1,Andrés Salazar,andres.salazar@empresa.cl,51,TRUE,37.890.123-4,Roberto Fuentes,roberto.fuentes@empresa.cl,45,TRUE,04/03/2019,2:00,03/11/2023,Entrada,,21:14,29/11/2022,Phishing,"Los clientes reciben correos electrónicos fraudulentos que solicitan información personal o financiera bajo pretextos falsos, como actualizaciones de seguridad."
4,2CGWB1SX,Inversiones Cima,P8S5DHC3,"Avenida Triunfo 2468, Vitacura",Región de La Araucanía,Matthew Davis,45.678.901-2,Isidora Martínez,isidora.martinez@empresa.cl,33,FALSE,48.901.234-5,Camila Rojas,camila.rojas@empresa.cl,32,FALSE,12/09/2022,3:00,19/06/2020,Salida,,3:42,14/09/2020,Robo de identidad,Un cliente descubre que se han abierto cuentas bancarias o se han realizado transacciones en su nombre sin su conocimiento ni autorización.
5,9PZREAF5,Soluciones Bancarias Unidas,X2K6ETN9,"Calle Resilencia 135, Santiago Centro",Región de Los Lagos,Olivia Wilson,56.789.012-3,Cristóbal Sepúlveda,cristobal.sepulveda@empresa.cl,48,TRUE,59.012.345-6,Gustavo Herrera,gustavo.herrera@empresa.cl,49,TRUE,21/07/2018,4:00,07/12/2021,Entrada,,11:19,08/06/2023,Fraude de préstamos,El banco descubre que se han aprobado préstamos utilizando documentos falsificados o información fraudulenta.
6,YD4J8NU7,Riqueza Vanguardia,F1R0YZQ7,"Pasaje Fortaleza 79, La Florida",Región de Coquimbo,Ethan Taylor,67.890.123-4,Sofía Herrera,sofia.herrera@empresa.cl,39,FALSE,60.123.456-7,Mariela Sánchez,mariela.sanchez@empresa.cl,26,FALSE,30/04/2023,5:00,24/03/2022,Entrada,,18:05,21/12/2021,Ataque de ransomware,Los sistemas informáticos del banco se bloquean y se muestra un mensaje que exige un rescate para restaurar el acceso a los datos.
7,6Q1LWX3M,Banco Cumbre,M3J8WLB6,"Avenida Renacimiento 2580, Maipú",Región del Maule,Ava Martinez,78.901.234-5,Benjamín Núñez,benjamin.nunez@empresa.cl,55,TRUE,71.234.567-8,Luis Morales,luis.morales@empresa.cl,41,TRUE,08/12/2020,6:00,11/05/2023,Salida,,9:36,03/10/2022,Fuga de datos,"Se detecta una brecha de seguridad en la que información confidencial de los clientes, como números de seguridad social o detalles de cuenta, se ha filtrado."
8,0IVBZPTH,Finanzas Prosperidad,D5T4CXV2,"Calle Sabiduría 246, Puente Alto",Región de Ñuble,Noah Anderson,89.012.345-6,Valentina Torres,valentina.torres@empresa.cl,31,FALSE,82.345.678-9,Javiera Vega,javiera.vega@empresa.cl,35,FALSE,17/02/2021,7:00,30/10/2021,Salida,,16:58,11/05/2020,Robo de cajero automático,Se encuentran evidencias de que los cajeros automáticos han sido manipulados o forzados para robar efectivo.
9,CKRN2F8J,Crédito Confianza,Z7N9SYP1,"Pasaje Éxito 17, San Bernardo",Región del Libertador General Bernardo O'Higgins,Emma Thomas,90.123.456-7,Matías Contreras,matias.contreras@empresa.cl,46,TRUE,93.456.789-0,Patricio Castillo,patricio.castillo@empresa.cl,28,TRUE,25/10/2019,8:00,08/02/2022,Entrada,,5:20,19/08/2021,Intrusión en el sistema informático,Se detecta actividad inusual en los registros de acceso o se descubre malware en los sistemas del banco.
10,5S9GDXQY,Inversiones Progreso,H6Q0RFJ8,"Avenida Prosperidad 3691, Quilicura",Región de Atacama,William White,1.234.567-8,Renata Espinoza,renata.espinoza@empresa.cl,35,FALSE,4.567.890-1,Claudia Guzmán,claudia.guzman@empresa.cl,47,FALSE,03/05/2022,9:00,22/01/2020,Entrada,,22:49,27/04/2023,Errores de procesamiento,Los clientes informan de discrepancias en sus estados de cuenta o transacciones bancarias que no coinciden con sus registros.
